model,target,f1_c (median),f1_cw (median),precision_c (median),precision_cw (median),recall_c (median),recall_cw (median),auc_c (median),auc_cw (median),f1_c (mean),f1_cw (mean),precision_c (mean),precision_cw (mean),recall_c (mean),recall_cw (mean),auc_c (mean),auc_cw (mean)
SVC,ABU50,0.6309012875536482,0.6309012875536482,0.6049382716049383,0.6049382716049383,0.6591928251121076,0.6591928251121076,0.6127470355731226,0.6127470355731226,0.6309012875536482,0.6309012875536482,0.6049382716049383,0.6049382716049383,0.6591928251121076,0.6591928251121076,0.6127470355731226,0.6127470355731226
SVC,BD50,0.353887399463807,0.3504043126684636,0.229965156794425,0.2280701754385964,0.7674418604651163,0.7558139534883721,0.5738690476190476,0.5696230158730159,0.35173419391448535,0.34898491353734046,0.22868284902944716,0.22704834834099355,0.7635658914728682,0.7558139534883721,0.5717592592592592,0.5682870370370371
SVC,PBU,0.6462948485400952,0.6472689115469952,0.7074240986717268,0.700063211125158,0.587378640776699,0.5889967637540453,0.5163963724447596,0.5078326243648824,0.6413439187349923,0.6382735557846047,0.715778803777325,0.7092378312435128,0.5817152103559871,0.5817152103559871,0.5273016365355074,0.5190569242585371
knn_classifier,ABU50,0.5759637188208617,0.5831435079726651,0.6036036036036037,0.5991189427312775,0.5650224215246636,0.5739910313901345,0.6010869565217393,0.5989130434782609,0.5868641776319192,0.5918191694857088,0.6111289087069147,0.6099008955634506,0.5659192825112107,0.5757847533632287,0.5994466403162055,0.6008893280632411
knn_classifier,BD50,0.3514644351464435,0.3644444444444444,0.2745098039215686,0.2949640287769784,0.4883720930232558,0.4767441860465116,0.5901388888888889,0.6020634920634921,0.3514644351464435,0.3644444444444444,0.2745098039215686,0.2949640287769784,0.4883720930232558,0.4767441860465116,0.5901388888888889,0.6020634920634921
knn_classifier,PBU,0.6000000000000001,0.5902912621359223,0.7393364928909952,0.7378640776699029,0.5048543689320388,0.4919093851132686,0.5496183386505967,0.5458064516129032,0.6000000000000001,0.5902912621359223,0.7393364928909952,0.7378640776699029,0.5048543689320388,0.4919093851132686,0.5496183386505967,0.5458064516129032
logistic_regression,ABU50,0.6258205689277899,0.6247288503253796,0.6092436974789915,0.603448275862069,0.6412556053811659,0.6412556053811659,0.6145256916996047,0.6101778656126482,0.5972333568128201,0.5984198269680588,0.6057686383869975,0.5997397106650268,0.5924265072247135,0.6003986048829097,0.6022617479139218,0.5986056214317084
logistic_regression,BD50,0.32185357301535833,0.31463454875433094,0.2130787037037037,0.2088586373390558,0.6918604651162791,0.5988372093023255,0.5359325396825396,0.5245734126984126,0.32517629798789416,0.31239610766847037,0.21039540321281114,0.2062317745551303,0.7325581395348837,0.6686046511627908,0.5320833333333332,0.520079365079365
logistic_regression,PBU,0.6569064695207292,0.6484517304189436,0.7557883913058894,0.7416666666666667,0.580906148867314,0.5760517799352751,0.5759831029185867,0.5581791326952616,0.6334585683714526,0.6283669077981263,0.7457198259050455,0.7379303245656456,0.5517799352750808,0.5485436893203883,0.562607674583481,0.5521483221079995
randomForest_classifier,ABU50,0.5639810426540285,0.5668202764976958,0.5893719806763285,0.5879629629629629,0.5336322869955157,0.5515695067264574,0.5809288537549407,0.5789525691699604,0.562572306090295,0.5689279519386873,0.5884356419904733,0.5898235750591775,0.5391131041355257,0.5495764823119083,0.5789306104523495,0.5817852437417654
randomForest_classifier,BD50,0.3714406162572338,0.3718049034950443,0.26664634146341465,0.26288989308938604,0.622093023255814,0.6337209302325582,0.6043650793650793,0.6027777777777777,0.3770971541092218,0.3677830200714723,0.27203067417932836,0.2611887896427025,0.6162790697674418,0.624031007751938,0.6090178571428572,0.5993931878306878
randomForest_classifier,PBU,0.6510791366906475,0.6690140845070423,0.7408906882591093,0.73828125,0.5857605177993528,0.6116504854368932,0.5579693961952026,0.5569053527118042,0.6530792948059135,0.6606630968919947,0.7382948835143497,0.7399667714978222,0.5857605177993527,0.5974110032362459,0.554243412501477,0.5573587380361573
mlp_classifier,ABU50,0.5446623093681917,0.5175202156334233,0.5833333333333334,0.5707964601769911,0.5605381165919282,0.4573991031390134,0.5295454545454545,0.5693675889328064,0.3971309135853501,0.5282946946035644,0.571311105806212,0.5844921741460684,0.3886397608370702,0.48878923766816146,0.5432476943346508,0.5645256916996048
mlp_classifier,BD50,0.3,0.3333333333333333,0.2142857142857142,0.224,0.5232558139534884,0.6046511627906976,0.530892857142857,0.552579365079365,0.27980238302818944,0.33105086510659265,0.2329198788348622,0.22716817359855332,0.42635658914728686,0.6124031007751939,0.5316931216931217,0.5539814814814813
mlp_classifier,PBU,0.5413223140495868,0.6148148148148147,0.684931506849315,0.7186147186147186,0.4239482200647249,0.5372168284789643,0.4938095238095238,0.5292030012997755,0.5495486371682543,0.5892721210701786,0.7041442337690104,0.7149173762730587,0.46817691477885653,0.5048543689320388,0.504252432155658,0.5247418173224625
